,Month_Start,VIX,CFFCI_Risk,High_Yield_Credit_Spread,AAII_Bull,AAII_Bear,AAII_N,UMich
453,1990-08-01,28.175217391304347,-0.16752404263977322,,0.23399999999999999,0.542,-0.308,76.4
454,1990-09-01,29.10736842105263,0.048144503444216946,,0.22,0.525,-0.305,72.8
455,1990-10-01,29.625652173913043,0.1572400633168365,,0.18,0.59,-0.41,63.9
456,1990-11-01,24.885714285714286,0.13370319593236119,,0.18,0.47800000000000004,-0.29799999999999993,66.0
457,1990-12-01,23.363,0.20830338470524676,,0.2575,0.4225,-0.16499999999999995,65.5
458,1991-01-01,27.429090909090913,0.2258195601428605,,0.25,0.4475,-0.1975,66.8
459,1991-02-01,21.59842105263158,-0.0347060879300444,,0.42,0.3125,0.10749999999999998,70.4
460,1991-03-01,17.74421052631579,-0.2684623804412098,,0.488,0.27199999999999996,0.21599999999999997,87.7
461,1991-04-01,17.37272727272727,-0.37436815491862574,,0.4875,0.21000000000000002,0.27749999999999997,81.8
462,1991-05-01,16.93227272727273,-0.377520647482102,,0.398,0.256,0.1419999999999999,78.3
463,1991-06-01,17.134999999999998,-0.3411678626238107,,0.4125,0.225,0.1875,82.1
464,1991-07-01,17.294090909090908,-0.46324195379724925,,0.3275,0.245,0.08249999999999998,82.9
465,1991-08-01,15.681363636363637,-0.6587066830126311,,0.33799999999999997,0.282,0.05600000000000001,82.0
466,1991-09-01,16.9565,-0.7323844792987503,,0.355,0.255,0.09999999999999998,83.0
467,1991-10-01,16.36391304347826,-0.7468778707116828,,0.3375,0.3275,0.009999999999999998,78.3
468,1991-11-01,17.773500000000002,-0.7756403725152674,,0.406,0.314,0.09199999999999998,69.1
469,1991-12-01,18.347619047619048,-0.8164318542400765,,0.3275,0.355,-0.027500000000000024,68.2
470,1992-01-01,17.68318181818182,-0.7859524470029228,,0.48200000000000004,0.27999999999999997,0.20199999999999996,67.5
471,1992-02-01,17.47736842105263,-0.7207199962572738,,0.43,0.25,0.17999999999999994,68.8
472,1992-03-01,17.520454545454545,-0.7124601096169105,,0.435,0.245,0.18999999999999995,76.0
473,1992-04-01,16.562857142857144,-0.7859903005556734,,0.4175,0.22999999999999998,0.18749999999999997,77.2
474,1992-05-01,15.077000000000002,-0.8985358698219065,,0.40199999999999997,0.256,0.14599999999999996,79.2
475,1992-06-01,15.203181818181816,-0.9690419709322657,,0.365,0.24250000000000002,0.12249999999999991,80.4
476,1992-07-01,13.601818181818182,-1.020039380073852,,0.254,0.312,-0.05799999999999996,76.6
477,1992-08-01,14.421904761904763,-1.0250456019851,,0.265,0.3675,-0.10249999999999995,76.1
478,1992-09-01,13.696666666666667,-0.9571635646044112,,0.20500000000000002,0.39749999999999996,-0.19249999999999995,75.6
479,1992-10-01,17.63681818181818,-0.7463590015280476,,0.254,0.42400000000000004,-0.16999999999999998,73.3
480,1992-11-01,14.4245,-0.6768096671342793,,0.4425,0.1925,0.24999999999999994,85.3
481,1992-12-01,12.191363636363635,-0.84469628358508,,0.495,0.16,0.335,91.0
482,1993-01-01,12.409,-0.9851335718855833,,0.43,0.20400000000000001,0.22600000000000003,89.3
483,1993-02-01,13.72157894736842,-1.0005668742146474,,0.4275,0.2625,0.16499999999999998,86.6
484,1993-03-01,13.60608695652174,-1.0027759999199206,,0.39,0.2725,0.11749999999999998,85.9
485,1993-04-01,12.840952380952379,-1.025003665796906,,0.3,0.32199999999999995,-0.02199999999999998,85.6
486,1993-05-01,13.606,-1.0435483180503875,,0.215,0.3925,-0.1775,80.3
487,1993-06-01,12.524090909090908,-1.0608052509591,,0.265,0.365,-0.1,81.5
488,1993-07-01,11.50047619047619,-1.118190379879724,,0.22000000000000003,0.33799999999999997,-0.11799999999999997,77.0
489,1993-08-01,11.928636363636365,-1.15192849474722,,0.2675,0.335,-0.06749999999999998,77.3
490,1993-09-01,12.931428571428572,-1.1402290818562726,,0.32,0.3375,-0.017499999999999977,77.9
491,1993-10-01,11.875238095238094,-1.091381216612954,,0.34199999999999997,0.314,0.02799999999999998,82.7
492,1993-11-01,14.083809523809524,-1.04311618080401,,0.365,0.3175,0.04750000000000003,81.2
493,1993-12-01,11.356363636363637,-1.0772450294325981,,0.366,0.298,0.06799999999999998,88.2
494,1994-01-01,11.29047619047619,-1.0996588674855174,,0.4175,0.29500000000000004,0.12249999999999994,94.3
495,1994-02-01,13.64421052631579,-1.0196601060978148,,0.42,0.275,0.14499999999999996,93.2
496,1994-03-01,15.223478260869564,-0.8478349675023238,,0.27199999999999996,0.354,-0.082,91.5
497,1994-04-01,16.471052631578946,-0.7065639104906103,,0.275,0.4,-0.12499999999999994,92.6
498,1994-05-01,13.897142857142857,-0.7083122146229575,,0.3025,0.365,-0.06249999999999995,92.8
499,1994-06-01,13.408636363636363,-0.7206090040517508,,0.32,0.266,0.05399999999999998,91.2
500,1994-07-01,12.4845,-0.7417587422853126,,0.28500000000000003,0.335,-0.04999999999999995,89.0
501,1994-08-01,11.889130434782608,-0.8373270777478805,,0.295,0.285,0.01,91.7
502,1994-09-01,13.233333333333333,-0.7891085874353828,,0.42000000000000004,0.26,0.15999999999999995,91.5
503,1994-10-01,15.245238095238093,-0.6458968158877932,,0.375,0.2525,0.12249999999999993,92.7
504,1994-11-01,16.383809523809525,-0.5682131796201528,,0.398,0.302,0.09599999999999997,91.6
505,1994-12-01,14.177142857142858,-0.45193264414519196,,0.3625,0.2925,0.07,95.1
506,1995-01-01,12.274285714285714,-0.4995234445763915,,0.3875,0.24,0.14749999999999996,97.6
507,1995-02-01,11.47,-0.6709207288401022,,0.4025,0.21250000000000002,0.18999999999999997,95.1
508,1995-03-01,12.166521739130435,-0.7368337511991514,,0.47800000000000004,0.21400000000000002,0.26399999999999996,90.3
509,1995-04-01,12.442631578947369,-0.7543064427986386,,0.4275,0.3125,0.11499999999999998,92.5
510,1995-05-01,12.265909090909092,-0.8148751994004315,,0.43,0.315,0.11499999999999999,89.8
511,1995-06-01,11.896818181818183,-0.8042024076498573,,0.404,0.318,0.08599999999999995,92.7
512,1995-07-01,12.514,-0.7782180823295568,,0.4075,0.3225,0.08499999999999992,94.4
513,1995-08-01,12.798260869565217,-0.7970881192468082,,0.374,0.272,0.10199999999999998,96.2
514,1995-09-01,12.057,-0.7778670461658665,,0.4275,0.2725,0.15499999999999994,88.9
515,1995-10-01,14.357272727272727,-0.7566958799966085,,0.4325,0.2375,0.195,90.2
516,1995-11-01,12.46904761904762,-0.8230265119149827,,0.48200000000000004,0.22200000000000003,0.25999999999999995,88.2
517,1995-12-01,11.7485,-0.8465106774013869,,0.4825,0.235,0.2475,91.0
518,1996-01-01,13.473636363636365,-0.8554493520633295,,0.44333333333333336,0.26666666666666666,0.17666666666666667,89.3
519,1996-02-01,15.032999999999998,-0.8863821818575655,,0.51,0.22400000000000003,0.286,88.5
520,1996-03-01,17.76238095238095,-0.7871456891985996,,0.43,0.2575,0.17249999999999993,93.7
521,1996-04-01,16.575238095238095,-0.7130554093444813,,0.36,0.23249999999999998,0.1275,92.7
522,1996-05-01,16.14636363636364,-0.758667027451117,,0.48600000000000004,0.168,0.31799999999999995,89.4
523,1996-06-01,16.395,-0.7497504368935507,,0.44999999999999996,0.2275,0.22249999999999992,92.4
524,1996-07-01,17.978636363636365,-0.727419619567103,,0.3275,0.2825,0.04499999999999998,94.7
525,1996-08-01,15.760454545454547,-0.7549406446042441,,0.31,0.278,0.032000000000000015,95.3
526,1996-09-01,16.578,-0.7363410536396655,,0.2925,0.305,-0.012499999999999976,94.7
527,1996-10-01,16.38173913043478,-0.7507093168970872,,0.392,0.278,0.11399999999999996,96.5
528,1996-11-01,15.997,-0.7777492499656136,,0.395,0.265,0.13,99.2
529,1996-12-01,19.260952380952382,-0.6982700294679267,,0.3775,0.335,0.04249999999999998,96.9
530,1997-01-01,19.473333333333333,-0.6681012166037068,,0.418,0.22599999999999998,0.19199999999999995,97.4
531,1997-02-01,20.139473684210525,-0.7000806864440675,,0.4975,0.1925,0.30499999999999994,99.7
532,1997-03-01,20.169999999999998,-0.671628278738934,,0.35,0.2625,0.08749999999999995,100.0
533,1997-04-01,19.662272727272725,-0.6018911910848586,,0.28500000000000003,0.32,-0.034999999999999976,101.4
534,1997-05-01,19.924761904761905,-0.5571377413831012,,0.356,0.246,0.10999999999999999,103.2
535,1997-06-01,20.194285714285712,-0.5664925288835787,,0.53,0.1725,0.35749999999999993,104.5
536,1997-07-01,20.529090909090908,-0.6061126320633857,,0.49800000000000005,0.21400000000000002,0.284,107.1
537,1997-08-01,23.084761904761905,-0.5977799367996498,,0.4875,0.215,0.27249999999999996,104.4
538,1997-09-01,23.812380952380952,-0.5263538236057862,,0.395,0.20500000000000002,0.18999999999999997,106.0
539,1997-10-01,23.87086956521739,-0.4135475697099028,,0.41,0.182,0.22799999999999998,105.6
540,1997-11-01,32.20611111111111,-0.3423125461029848,,0.40750000000000003,0.21000000000000002,0.1975,107.2
541,1997-12-01,26.276363636363637,-0.4097146149507185,,0.42000000000000004,0.21600000000000003,0.20399999999999996,102.1
542,1998-01-01,23.8665,-0.5151034716953652,,0.3725,0.21250000000000002,0.16,106.6
543,1998-02-01,19.998947368421053,-0.5873187034680467,,0.425,0.1825,0.2425,110.4
544,1998-03-01,20.158636363636365,-0.5859144714509815,,0.455,0.1875,0.2675,106.5
545,1998-04-01,22.02857142857143,-0.5529091041783145,,0.44800000000000006,0.21400000000000002,0.23399999999999999,108.7
546,1998-05-01,20.874000000000002,-0.5410413818814938,,0.37,0.245,0.12499999999999997,106.5
547,1998-06-01,21.66272727272727,-0.5512928820533552,,0.2725,0.29000000000000004,-0.0175,105.6
548,1998-07-01,19.930000000000003,-0.5410149390019332,,0.37,0.20800000000000002,0.16199999999999998,105.2
